"gvkey","company_name","final_commitment_year","commitment_date_source","match_method"
"101336","Schneider Electric",2017,"historical_committed","ISIN"
"101340","SGS SA",2016,"historical_committed","ISIN"
"101343","Schindler Group",2021,"historical_committed","ISIN"
"101396","Pernod Ricard",2019,"inferred_from_targets_set","ISIN"
"101434","Lenzing AG",2019,"historical_committed","ISIN"
"101467","VALLOUREC",2019,"historical_committed","ISIN"
"101500","COLAS SA",2020,"inferred_from_targets_set","ISIN"
"101538","Coloplast A/S",2020,"historical_committed","ISIN"
"101553","Sacyr S.A.",2020,"historical_committed","ISIN"
"101564","Lassila & Tikanoja plc",2019,"historical_committed","ISIN"
"101714","Huhtamäki Oyj",2020,"inferred_from_targets_set","ISIN"
"101718","UPM-Kymmene Corporation",2017,"historical_committed","ISIN"
"101739","Fiskars Group",2019,"inferred_from_targets_set","ISIN"
"101757","Nishimatsu Construction Co., Ltd",2021,"historical_committed","ISIN"
"101811","SAINT-GOBAIN",2018,"inferred_from_targets_set","ISIN"
"101824","LIXIL Corporation",2017,"inferred_from_targets_set","ISIN"
"101828","Tietoevry Oyj",2021,"historical_committed","ISIN"
"101839","Outokumpu Oyj",2016,"historical_committed","ISIN"
"101866","Meiji Holdings Co., Ltd.",2020,"inferred_from_targets_set","ISIN"
"101891","SHIMADZU CORPORATION",2019,"historical_committed","ISIN"
"101922","Barco NV",2020,"historical_committed","ISIN"
"101937","DMG MORI AKTIENGESELLSCHAFT",2020,"inferred_from_targets_set","ISIN"
"101939","TODA Corporation",2016,"inferred_from_targets_set","ISIN"
"101942","Henkel AG & Co. KGaA",2019,"historical_committed","ISIN"
"101944","Capgemini SE",2017,"historical_committed","ISIN"
"101959","Kagome Co., Ltd.",2021,"historical_committed","ISIN"
"101971","Kesko Corporation",2016,"inferred_from_targets_set","ISIN"
"102056","Sanyo Special Steel Co., Ltd.",2017,"historical_committed","ISIN"
"102089","Sodexo S.A.",2015,"historical_committed","ISIN"
"102146","Terumo Corporation",2019,"inferred_from_targets_set","ISIN"
"102155","Sumitomo Forestry Co., Ltd",2017,"historical_committed","ISIN"
"102175","PUMA SE",2016,"historical_committed","ISIN"
"102250","Hugo Boss AG",2019,"inferred_from_targets_set","ISIN"
"102256","DMG Mori Co., Ltd.",2021,"historical_committed","ISIN"
"102260","ITV",2020,"inferred_from_targets_set","ISIN"
"102276","H&M Group",2021,"inferred_from_targets_set","ISIN"
"102296","VINCI SA",2021,"inferred_from_targets_set","ISIN"
"102299","Forvia",2019,"inferred_from_targets_set","ISIN"
"102368","Tubacex, S.A.",2020,"historical_committed","ISIN"
"102401","ASTM S.p.A.",2020,"inferred_from_targets_set","ISIN"
"102422","Sappi Limited",2020,"historical_committed","ISIN"
"102441","J. FRONT RETAILING Co., Ltd.",2019,"inferred_from_targets_set","ISIN"
"102454","dsm-firmenich",2019,"inferred_from_targets_set","ISIN"
"10247","Sysco Corporation",2021,"inferred_from_targets_set","ISIN"
"102523","Valeo",2020,"inferred_from_targets_set","ISIN"
"102553","Countryside Properties",2020,"inferred_from_targets_set","ISIN"
"102569","Spectris plc",2020,"inferred_from_targets_set","ISIN"
"102574","Kingspan Group Plc",2019,"inferred_from_targets_set","ISIN"
"102576","Hays plc",2021,"inferred_from_targets_set","ISIN"
"102596","Glanbia PLC",2020,"inferred_from_targets_set","ISIN"
"102603","Severn Trent",2020,"historical_committed","ISIN"
"102653","The British Land Company PLC",2020,"historical_committed","ISIN"
"102704","United Utilities Group PLC",2020,"historical_committed","ISIN"
"102712","ACCIONA S.A.",2016,"historical_committed","ISIN"
"102765","Imerys SA",2019,"inferred_from_targets_set","ISIN"
"102778","Takasago Thermal Engineering",2020,"historical_committed","ISIN"
"102862","Hitachi Construction Machinery Co. LTD",2017,"historical_committed","ISIN"
"102902","Compagnie Financière Richemont SA",2020,"inferred_from_targets_set","ISIN"
"102904","Danieli Group",2021,"inferred_from_targets_set","ISIN"
"102915","SSAB",2019,"inferred_from_targets_set","ISIN"
"102947","Royal BAM Group",2017,"historical_committed","ISIN"
"102950","Asahi Group Holdings Ltd.",2017,"historical_committed","ISIN"
"103042","Yamazen Co.,Ltd.",2021,"inferred_from_targets_set","ISIN"
"103051","AFRY (ÅF Pöyry)",2020,"historical_committed","ISIN"
"103053","ROHM Co., Ltd.",2021,"historical_committed","ISIN"
"103133","EVN AG",2021,"historical_committed","ISIN"
"103176","thyssenkrupp AG",2019,"inferred_from_targets_set","ISIN"
"103186","Greencore Group plc",2020,"inferred_from_targets_set","ISIN"
"103255","Bertelsmann SE & Co. KGaA",2020,"historical_committed","ISIN"
"103264","Plastic Omnium SE",2021,"historical_committed","ISIN"
"103269","Krones AG",2016,"historical_committed","ISIN"
"103325","Logista",2016,"historical_committed","ISIN"
"103342","SSE",2016,"historical_committed","ISIN"
"103487","SAP SE",2016,"inferred_from_targets_set","ISIN"
"103599","Vidrala",2021,"historical_committed","ISIN"
"104831","Spark New Zealand",2020,"inferred_from_targets_set","ISIN"
"104833","HEINEKEN N.V.",2019,"historical_committed","ISIN"
"104854","Unicharm Corporation",2017,"historical_committed","ISIN"
"104907","Capita Plc",2020,"inferred_from_targets_set","ISIN"
"104950","FamilyMart Co.,Ltd.",2019,"inferred_from_targets_set","ISIN"
"104997","Inmobiliaria Colonial, SOCIMI, S.A.",2021,"historical_committed","ISIN"
"105089","CEMEX, S.A.B de C.V.",2020,"inferred_from_targets_set","ISIN"
"105365","American Tower Corporation",2020,"inferred_from_targets_set","ISIN"
"105861","Wheaton Precious Metals Corp.",2021,"inferred_from_targets_set","ISIN"
"10622","Toshiba Corporation",2019,"inferred_from_targets_set","ISIN"
"106755","Ambuja Cements Ltd",2019,"historical_committed","ISIN"
"106815","Hellenic Cables",2021,"historical_committed","ISIN"
"107225","Lenovo Group Limited",2019,"historical_committed","ISIN"
"10793","Tyson Foods, Inc.",2018,"inferred_from_targets_set","ISIN"
"10846","Unilever plc",2015,"historical_committed","ISIN"
"10884","Chiquita Brands International Sàrl",2020,"inferred_from_targets_set","ISIN"
"11017","Universal Corporation",2020,"historical_committed","ISIN"
"110179","Ventas, Inc.",2020,"historical_committed","ISIN"
"11060","VF Corporation",2018,"historical_committed","ISIN"
"111864","Cognizant Technology Solutions Corporation",2021,"inferred_from_targets_set","ISIN"
"112116","PostNL",2019,"inferred_from_targets_set","ISIN"
"112158","Celestica",2017,"historical_committed","ISIN"
"112168","Republic Services",2019,"inferred_from_targets_set","ISIN"
"11220","Vornado Realty Trust",2020,"inferred_from_targets_set","ISIN"
"11259","Walmart Inc.",2016,"inferred_from_targets_set","ISIN"
"11399","Western Digital",2020,"inferred_from_targets_set","ISIN"
"11465","Whirlpool Corporation",2019,"historical_committed","ISIN"
"114927","Swisscom AG",2016,"historical_committed","ISIN"
"11511","Williams-Sonoma, Inc.",2020,"inferred_from_targets_set","ISIN"
"1161","Advanced Micro Devices, Inc",2016,"inferred_from_targets_set","ISIN"
"11636","Xerox Corporation",2015,"historical_committed","ISIN"
"116961","Valmet",2016,"historical_committed","ISIN"
"12141","Microsoft Corporation",2019,"inferred_from_targets_set","ISIN"
"122380","Lennox International Inc.",2021,"historical_committed","ISIN"
"12540","Adobe, Inc.",2020,"inferred_from_targets_set","ISIN"
"125814","Weyerhaeuser Company",2021,"historical_committed","ISIN"
